,S.No.,Symbol,Expiry Date,Lot Size,Price,C/F Margin,MIS,Margin  Multiplier,BO/CO,Margin  Multiplier.1,Unnamed: 10
0,,BANKNIFTY,,20,21209.0,,,2.0,,71.0,Calculate
1,,NIFTY,28 Mar 2019,75,10190.0,,,1.0,,71.0,Calculate
2,,ACC,31 MAR 2019,400,1282.7,,,,,71.0,Calculate
3,,ADANIENT,31 MAR 2019,4000,152.95,,,,,71.0,Calculate
4,,ADANIPORTS,31 MAR 2019,2500,342.5,,,,,71.0,Calculate
5,,ADANIPOWER,31 MAR 2019,10000,38.9,,,,,71.0,Calculate
6,,AMARAJABAT,31 MAR 2019,800,663.45,,,,,71.0,Calculate
7,,AMBUJACEM,31 MAR 2019,2500,193.85,,,,,71.0,Calculate
8,,APOLLOHOSP,31 MAR 2019,500,1368.1,,,,,71.0,Calculate
9,,APOLLOTYRE,31 MAR 2019,3000,107.5,,,,,71.0,Calculate
10,,ASHOKLEY,31 MAR 2019,8000,51.7,,,,,71.0,Calculate
11,,ASIANPAINT,31 MAR 2019,300,1635.8,,,,,71.0,Calculate
12,,AUROPHARMA,31 MAR 2019,1000,749.65,,,,,71.0,Calculate
13,,AXISBANK,28 Mar 2019,1200,428.4,,,,,71.0,Calculate
14,,BAJAJ-AUTO,31 MAR 2019,250,2766.25,,,,,71.0,Calculate
15,,BAJAJFINSV,31 MAR 2019,125,5420.1,,,,,71.0,Calculate
16,,BAJFINANCE,31 MAR 2019,250,2493.8,,,,,71.0,Calculate
17,,BALKRISIND,31 MAR 2019,800,1150.0,,,,,71.0,Calculate
18,,BANDHANBNK,28 Mar 2019,1200,259.9,,,,,71.0,Calculate
19,,BANKBARODA,28 Mar 2019,5400,46.4,,,,,71.0,Calculate
20,,BATAINDIA,31 MAR 2019,550,1417.7,,,,,71.0,Calculate
21,,BEL,31 MAR 2019,6000,75.35,,,,,71.0,Calculate
22,,BERGEPAINT,31 MAR 2019,1100,503.8,,,,,71.0,Calculate
23,,BHARATFORG,31 MAR 2019,1300,359.99,,,,,71.0,Calculate
24,,BHARTIARTL,31 MAR 2019,1851,585.35,,,,,71.0,Calculate
25,,BHEL,31 MAR 2019,10400,27.8,,,,,71.0,Calculate
26,,BIOCON,31 MAR 2019,2300,383.5,,,,,71.0,Calculate
27,,BOSCHLTD,31 MAR 2019,40,11530.15,,,,,71.0,Calculate
28,,BPCL,31 MAR 2019,1800,395.5,,,,,71.0,Calculate
29,,BRITANNIA,31 Jan 2019,200,3440.2,,,,,71.0,Calculate
30,,CADILAHC,31 MAR 2019,2200,356.4,,,,,71.0,Calculate
31,,CANBK,28 Mar 2019,2600,103.75,,,,,71.0,Calculate
32,,CENTURYTEX,31 MAR 2019,600,319.2,,,,,71.0,Calculate
33,,CHOLAFIN,31 MAR 2019,2500,149.0,,,,,71.0,Calculate
34,,CIPLA,31 MAR 2019,1150,637.0,,,,,71.0,Calculate
35,,COALINDIA,31 MAR 2019,2700,147.7,,,,,71.0,Calculate
36,,COLPAL,31 MAR 2019,700,1349.0,,,,,71.0,Calculate
37,,CONCOR,31 MAR 2019,1563,404.7,,,,,71.0,Calculate
38,,CUMMINSIND,31 MAR 2019,900,395.5,,,,,71.0,Calculate
39,,DABUR,31 MAR 2019,1250,461.05,,,,,71.0,Calculate
40,,DIVISLAB,31 MAR 2019,400,2371.7,,,,,71.0,Calculate
41,,DLF,31 MAR 2019,3300,156.4,,,,,71.0,Calculate
